raw_acc:3d:mean_x,raw_acc:3d:mean_y,raw_acc:3d:mean_z,raw_acc:3d:std_x,raw_acc:3d:std_y,raw_acc:3d:std_z,raw_acc:3d:ro_xy,raw_acc:3d:ro_xz,raw_acc:3d:ro_yz,proc_gyro:3d:mean_x,proc_gyro:3d:mean_y,proc_gyro:3d:mean_z,proc_gyro:3d:std_x,proc_gyro:3d:std_y,proc_gyro:3d:std_z,proc_gyro:3d:ro_xy,proc_gyro:3d:ro_xz,proc_gyro:3d:ro_yz,raw_magnet:3d:mean_x,raw_magnet:3d:mean_y,raw_magnet:3d:mean_z,raw_magnet:3d:std_x,raw_magnet:3d:std_y,raw_magnet:3d:std_z,raw_magnet:3d:ro_xy,raw_magnet:3d:ro_xz,raw_magnet:3d:ro_yz
-0.008342,0.004189,1.013272,0.004736,0.004733,0.007474,-0.027148,-0.006239,0.016052,-0.004454,-0.008723,-0.005463,0.001022,0.001049,0.001075,0.088965,0.112337,0.080622,-90.653308,-13.805551,-32.703346,2.372283,0.532766,0.838417,0.491988,0.944133,0.532353
-0.006661,0.006863,1.004643,0.004695,0.004731,0.00721,-0.019837,-0.041847,-0.00728,-0.002972,-0.004214,-0.009332,0.001063,0.001392,0.000994,-0.136219,0.117325,-0.034405,-88.818427,-0.969365,-60.500025,2.308863,0.422634,1.609241,-0.025089,0.991208,-0.073749
0.325536,0.426605,0.845255,0.001235,0.001721,0.002036,0.121913,-0.115602,-0.20975,-0.002502,-0.00536,-0.00948,0.001228,0.001308,0.001199,-0.064625,-0.067956,0.205206,-71.346,30.122506,13.617494,2.286687,1.169042,0.511277,-0.799125,-0.87159,0.854102
0.350059,0.682203,-0.624429,0.007548,0.012462,0.01558,-0.792749,-0.193894,0.261394,-0.003268,-0.006935,-0.008756,0.027706,0.040093,0.019097,0.120305,0.556839,0.097834,-100.115969,33.227757,66.290875,3.1988,1.341872,2.089854,-0.728174,-0.982275,0.779841
0.044566,0.180738,0.986606,0.00152,0.001877,0.003319,0.024778,-0.1176,-0.113405,-0.003007,-0.00462,-0.008613,0.001739,0.00192,0.001105,-0.369924,-0.187665,0.202366,-62.165939,46.540812,12.728528,1.634244,1.377902,0.364189,-0.915526,-0.827405,0.832565
0.19797,-0.115192,0.988394,0.001038,0.001151,0.001813,0.045674,-0.007985,-0.030574,-0.006311,-0.010116,-0.006776,0.000951,0.001246,0.001023,-0.060306,0.068215,0.011249,-55.720885,-41.255575,-6.23378,1.458968,1.034752,0.230595,0.957775,0.522649,0.52115
-0.003929,0.005009,1.008379,0.002172,0.002199,0.003737,0.049891,-0.093122,-0.001854,-0.003172,-0.005125,-0.008688,0.001012,0.001158,0.001058,-0.104924,0.072828,-0.047077,-72.750569,52.12536,-63.188268,1.968345,1.363168,1.626349,-0.962158,0.980794,-0.968647
-0.006766,0.911396,0.388997,0.061128,0.085607,0.072965,-0.311382,0.091642,0.09078,-0.006334,-0.005663,-0.008416,0.053901,0.064583,0.026298,-0.923617,0.3819,-0.481796,181.268375,369.246852,-74.796853,4.748756,9.54724,2.169988,0.99749,-0.957283,-0.951108
0.233896,0.952201,0.138617,0.007708,0.004151,0.033721,0.430935,-0.690217,-0.670588,-0.002619,-0.008975,-0.008349,0.02345,0.026167,0.011102,0.065049,0.534746,0.203599,-78.588243,12.389507,20.964425,2.105914,0.956004,1.203425,-0.313934,-0.579685,0.022365
0.201509,-0.114722,0.981001,0.001132,0.001105,0.001826,0.010411,-0.026732,-0.007103,-0.003316,-0.005442,-0.008859,0.001232,0.001343,0.001114,0.349996,0.182945,0.117468,-60.007595,-54.128051,-6.001975,1.606383,1.488123,0.228015,0.978889,0.584434,0.614129
-0.001683,0.147847,0.993198,0.002221,0.00424,0.002325,0.331941,-0.320183,-0.410069,-0.002326,-0.004159,-0.009266,0.004076,0.002425,0.003407,-0.095128,0.111258,0.71878,-59.744242,45.758258,15.753485,1.580019,1.403957,0.462067,-0.848267,-0.870017,0.851423
